Lønartnr,Udskrivnings sekvens,Navn,Type,Input,Sats,Pensionsgrundlag,Frivilligt medarbejder indb.,Ferieberretiget,Fp-reduktion,Afv. Udskriftslønart,Efterregulering,E-indkomst timer,ATP-Timer,Før/efter skat,Tillæg/fradrag,E-indkomst,Indtægtstype,IL-typer,Decentral,Kommentar
2,2,Information til medarbejder,FAST,,,,,,,,,,,,Oplysning,,,,,
47,47,Afregning af alle ferietillæg,VARIABELEFTREG,,,,,,,,Ja,,,Før,Tillæg,,,,,
71,71,Reducer ATP / orlov i timer,FAST,,,,,,,,Ja,Ja,Ja,,,200,,,,
99,99,Antal arbejdstimer i perioden,VARIABEL,"Periodens timer,",,,,,,,,,,,Oplysning,,,,"9-Periodens timer, ",
168,168,Timeløn for tidligere perioder,VARIABELEFTREG,"Timesats,",,,,,,,Ja,,,,,,,,"10-Timesats, ",
309,309,Overfører saldi år-1 dg,STILLINGSKATEGORI,,,,,,,,Ja,,,,Saldi,,,,,
310,310,Overfører feriefri år-1 dg,VARIABEL,,,,,,,,Ja,,,,Saldi,,,,,
311,311,Overfører feriefri år-1 tim,VARIABEL,,,,,,,,,,,,Saldi,,,,,
312,312,Overfører feriefri år-1 bel.,VARIABEL,,,,,,,,,,,,Saldi,,,,,
313,313,Overfører afsp år-1 tim,VARIABEL,,,,,,,,,,,,Saldi,,,,,
314,314,Overfører omsorgdg år-1,VARIABEL,,,,,,,,,,,,Saldi,,,,,
315,315,Overfører omsorgtim år-1,VARIABEL,,,,,,,,,,,,Saldi,,,,,
316,316,Overfører aftalefridg år-1,VARIABEL,,,,,,,,,,,,Saldi,,,,,
317,317,Overfører aftalefritim år-1,VARIABEL,,,,,,,,,,,,Saldi,,,,,
318,318,Overfør ikke afholdt ferie dg,VARIABEL,"Antal dage,",,,,,,,,,,,Saldi,,,,"9-Antal dage, ",
319,319,Overfør ikke afholdt ferie.tim,VARIABEL,"Antal timer,",,,,,,,,,,,Saldi,,,,"9-Antal timer, ",
320,320,Overfør 941x saldi,VARIABEL,,,,,,,,,,,,Saldi,,,,,
321,321,Saldokorr.  9416 saldo i.år,VARIABEL,"Beløb (9416),",,,,,,,,,,,Saldi,,,,"11-Beløb (9416), ",
322,322,Saldokorr.  9417 saldo i.år,VARIABEL,"Beløb (9417),",,,,,,,,,,,Saldi,,,,"11-Beløb (9417), ",
323,323,Saldokorr.  9418 saldo i.år,VARIABEL,"Beløb (9418),",,,,,,,,,,,Saldi,,,,"11-Beløb (9418), ",
324,324,Saldokorr. afspads. timer/kr.,VARIABEL,"Afspadseringstimer,Afspadsering beløb,",,,,,,,,,,,Saldi,,,,"9-Afspadseringstimer,11-Afspadsering beløb,",
373,373,Overfører seniorordning år-1,VARIABEL,,,,,,,,,,,,Saldi,,,,,
400,400,Overfører saldi fra år-1,VARIABEL,"Feriefridage ovf. ja/nej,Feriefritimer ovf. ja/nej,Feriefribeløb ovf. ja/nej,Afspadsering ovf. ja/nej, ",,,,,,,,,,,Saldi,,,,0,
401,401,Overfører saldi fra år-1,VARIABEL,"Omsorgsdage ovf. ja/nej,Omsorgstimer ovf. ja/nej,Aftalefridage ovf. ja/nej,Aftalefritimer ovf. ja/nej, ",,,,,,,,,,,Saldi,,,,0,
402,402,Overfører fritvalgskonto år-1,VARIABEL,,,,,,,,,,,,Saldi,,,,,
403,403,Overfører saldi fra år-1,VARIABEL,,,,,,,,,,,,Saldi,,,,,
410,410,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",
412,412,Tilbagefør ferie forrige år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",
413,413,Tilbagefør ferie sidste år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",
415,415,Tilbagefør ferie forrige år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør Penge,",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør Penge,",
416,416,Tilbagefør ferie sidste år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",
428,428,Tilbagefør 4080 fratrædelse Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,År (-3 eller før), ",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,18-År (-3 eller før), ",
440,440,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,5,,,,,Ja,,,,Saldi,,,24,"9-Tilbagefør dage,11-Tilbagefør penge,",
445,445,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,5.6,,,,,,,,Før,,13,,24,"9-Tilbagefør dage,11-Tilbagefør penge,",
450,450,SH-beløb ret/overfør,VARIABEL,"SH opsparing: Beløb,SH forskud: Beløb,SH saldo: Beløb,SH afregnet: Beløb,SH-Saldo overføres ja=1/nej=0, ",,,,,,,,,,,Saldi,,,24,0,
470,470,Tilbagefør 4090,VARIABEL,"Tilbagefør dage,Tilbagefør beløb,Optjent år, ",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør beløb,18-Optjent år, ",
475,475,Tilbagefør 4005,VARIABEL,"Tilbagefør dage,Tilbagefør beløb,Optjent år, ",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør beløb,18-Optjent år, ",
476,476,Tilbagefør 4006,VARIABEL,"Tilbagefør dage,Tilbagefør beløb,Optjent år, ",,,,,,,,,,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør beløb,18-Optjent år, ",
485,485,Tilbagefør 4085,VARIABEL,"Tilbagefør timer,Tilbagefør penge,År (-3 eller før), ",,,,,,,,,,,Saldi,,,,"9-Tilbagefør timer,11-Tilbagefør penge,18-År (-3 eller før), ",
495,495,Tilbagefør 4095,VARIABEL,"Tilbagefør timer,Tilbagefør beløb,Optjent år, ",,,,,,,,,,,Saldi,,,,"9-Tilbagefør timer,11-Tilbagefør beløb,18-Optjent år, ",
500,500,Udbetaling ferietillæg,VARIABEL,"Antal dage,",,,,,,,,,,,Saldi,,,,"9-Antal dage, ",
510,510,Saldokorr.  feriedage/kr. år X Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge (+/-),Årstal (2xxx), ",,,,,,,,,,,Saldi,,,,"9-Antal dage (+/-),11-Feriepenge (+/-),18-Årstal (2xxx), ",Bruges til bruttoferiepenge tidligere år
511,511,Saldokorr.  feriedage/kr. år 0 Gl. Ferielov,VARIABEL,"Feriedage,Feriepenge,",,,,,,,,,,,Saldi,,,,"9-Feriedage,11-Feriepenge,",Bruges til bruttoferiepenge indeværende år
512,512,Saldokorr. ferietimer/kr. år X Gl. Ferielov,VARIABEL,"Antal timer (+/-),Feriepenge (+/-),Årstal (2xxx), ",,,,,,,,,,,Saldi,,,,"9-Antal timer (+/-),11-Feriepenge (+/-),18-Årstal (2xxx), ",
513,513,Saldokorr.  ferietimer/kr. år0 Gl. Ferielov,VARIABEL,"Ferietimer,Feriepenge,",,,,,,,,,,,Saldi,,,,"9-Ferietimer,11-Feriepenge,",
514,514,Saldokorr. feriedg.optjen i.år Gl. Ferielov,VARIABEL,"Feriedage optjent,",,,,,,,,,,,Saldi,,,,"9-Feriedage optjent, ",
515,515,Saldokorr. feriedg./saldo i.år Gl. Ferielov,VARIABEL,"Feriedage saldo,",,,,,,,,,,,Saldi,,,,"9-Feriedage saldo, ",
516,516,Saldokorr.ferietimer optj.i.år Gl. Ferielov,VARIABEL,"Ferietimer optjent,",,,,,,,,,,,Saldi,,,,"9-Ferietimer optjent, ",
520,520,Ferie fra tidligere arb.giver Gl. Ferielov,VARIABEL,"Antal dage (+/-),Årstal (2xxx),",,,,,,,,,,,Saldi,,,,"9-Antal dage (+/-),18-Årstal (2xxx),",
521,521,Tildelt ferie med løn Gl. Ferielov,VARIABEL,"Antal dage (+/-),Årstal (2xxx),",,,,,,,,,,,Saldi,,,,"9-Antal dage (+/-),18-Årstal (2xxx),",
522,522,Tildelt ferie uden løn Gl. Ferielov,VARIABEL,"Antal dage (+/-),Årstal (2xxx),",,,,,,,,,,,Saldi,,,,"9-Antal dage (+/-),18-Årstal (2xxx),",
530,530,Antal arbejdsdage/feriedage Gl. Ferielov,VARIABEL,"Antal arb.dage i per.,",,,,,,,,,,,Saldi,,,,"9-Antal arb.dage i per., ",
590,590,Saldokorr.  feriebert.løn år Gl. Ferielov,VARIABEL,"Feriepenge grundlag,Årstal,",,,,Ja,,,,,,,Saldi,,,13,"11-Feriepenge grundlag,18-Årstal,",
600,600,Saldokorr.  feriedage/kr. år Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge (+/-), Årstal (2xxx),Dage indeværende år (+/-),Feriepenge indeværende år, ",,,,,,,,,,,Saldi,,,,0,
601,601,Saldokorr. ferietillæg år Gl. Ferielov,VARIABEL,"Feriedage tillæg (+/-),Ferietillæg beløb (+/-),Årstal (2xxx), ",,,,,,,,,,,Saldi,,,,"9-Feriedage tillæg (+/-),11-Ferietillæg beløb (+/-),18-Årstal (2xxx), ",
602,602,Saldokorr. eks. ferietillæg år Gl. Ferielov,VARIABEL,"Feriedage tillæg (+/-),Ferietillæg beløb (+/-),Årstal (2xxx), ",,,,,,,,,,,Saldi,,,,"9-Feriedage tillæg (+/-),11-Ferietillæg beløb (+/-),18-Årstal (2xxx), ",
605,605,Saldokorr. ferietimer/kr. år Gl. Ferielov,VARIABEL,"Antal timer (+/-),Feriepenge (+/-),Årstal (2xxx),Timer indeværende år (+/-),Feriepenge indeværende år, ",,,,,,,,,,,Saldi,,,,0,
606,606,Saldokorr. feriedg./timer i.år Gl. Ferielov,VARIABEL,"Feriedage optjent,Feriedage saldo,Ferietimer optjent, ",,,,,,,,,,,Saldi,,,,"9-Feriedage optjent,10-Feriedage saldo,11-Ferietimer optjent, ",
610,610,Saldokorr. feriekort år Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge netto (+/-),Årstal (2xxx), ",,,,,,,,,,,Saldi,,,,"9-Antal dage (+/-),11-Feriepenge netto (+/-),18-Årstal (2xxx), ",Bruges for tidligere år
611,611,Saldokorr. feriekort i år Gl. Ferielov,VARIABEL,"Antal dage (+/-),Feriepenge netto (+/-),",,,,,,,,,,,Saldi,,,,"9-Antal dage (+/-),11-Feriepenge netto (+/-),",Bruges for indeværende år
620,620,Kilometergodtgørelse km.,VARIABEL,"KM,",,,,,,,,,,,Saldi,,,,"9-KM, ",
621,621,Jub/fratr. skattefri,VARIABEL,"Beløb,",,,,,,,,,,,Saldi,,,,"11-Beløb, ",
650,650,Arb.tid faktor tidl. år,VARIABEL,"Arb.tid.pct. tidl.år,Angiv tidligere år,",,,,,,,,,,,Saldi,,,,"12-Arb.tid.pct. tidl.år,18-Angiv tidligere år,",
710,710,"Saldo Max 1, pension",VARIABEL,"Saldo Max 1, pension,",,,,,,,,,,,Saldi,,,,"11-Saldo Max 1, pension, ",
711,711,"Saldo Max 2, pension",VARIABEL,"Saldo Max 2, pension,",,,,,,,,,,,Saldi,,,,"11-Saldo Max 2, pension, ",
712,712,"Saldo Max 3, pension",VARIABEL,"Saldo Max 3, pension,",,,,,,,,,,,Saldi,,,,"11-Saldo Max 3, pension, ",
