Lønartnr,Udskrivnings sekvens,Navn,Type,Input,Sats,Pensionsgrundlag,Frivilligt medarbejder indb.,Ferieberretiget,Fp-reduktion,Afv. Udskriftslønart,Efterregulering,E-indkomst timer,ATP-Timer,Før/efter skat,Tillæg/fradrag,E-indkomst,Indtægtstype,IL-typer,Decentral,Kommentar,Alternative_Navne
2,2,Information til medarbejder,FAST,,,,,Nej,,,Nej,Nej,Nej,,Oplysning,,,,,,
47,47,Afregning af alle ferietillæg,VARIABELEFTREG,,,,,Nej,,,Ja,Nej,Nej,Før,Tillæg,,,,,,
71,71,Reducer ATP / orlov i timer,FAST,,,,,Nej,,,Ja,Ja,Ja,,,200,,,,,
99,99,Antal arbejdstimer i perioden,VARIABEL,"Periodens timer,",,,,Nej,,,Nej,Nej,Nej,,Oplysning,,,,"9-Periodens timer, ",,"Antal arbejdstimer i perioden, Antal arbejdstimer i perioden, Afholdt ferie"
168,168,Timeløn for tidligere perioder,VARIABELEFTREG,"Timesats,",,,,Nej,,,Ja,Nej,Nej,,,,,,"10-Timesats, ",,
309,309,Overfører saldi år-1 dg,STILLINGSKATEGORI,,,,,Nej,,,Ja,Nej,Nej,,Saldi,,,,,,
310,310,Overfører feriefri år-1 dg,VARIABEL,,,,,Nej,,,Ja,Nej,Nej,,Saldi,,,,,,"Overfører feriefri år-1 dg, Overfører feriefri år-1 dg, Overførsel af feriefridage"
311,311,Overfører feriefri år-1 tim,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører feriefri år-1 tim, Overfører feriefri år-1 tim, Feriefritimer"
312,312,Overfører feriefri år-1 bel.,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører feriefri år-1 bel., Overfører feriefri år 2017, Overfører feriefri år-1 bel."
313,313,Overfører afsp år-1 tim,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører afsp år-1 tim, Overfører afsp år-1 tim, Overfør afspadsering"
314,314,Overfører omsorgdg år-1,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører omsorgdg år-1, Overfører omsorgdg år-1, Overfør omsorgsdage fra s.år"
315,315,Overfører omsorgtim år-1,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører omsorgtim år-1, Overf.  Omsorg fra 2023, Overfører omsorgtim år-1"
316,316,Overfører aftalefridg år-1,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører aftalefridg år-1, Overfører aftalefridg år-1, Overførsel af aftalefridage"
317,317,Overfører aftalefritim år-1,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører aftalefritim år-1, Regulering timebank, Overf.  Flex fra 2022"
318,318,Overfør ikke afholdt ferie dg,VARIABEL,"Antal dage,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal dage, ",,
319,319,Overfør ikke afholdt ferie.tim,VARIABEL,"Antal timer,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Antal timer, ",,
320,320,Overfør 941x saldi,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,
321,321,Saldokorr.  9416 saldo i.år,VARIABEL,"Beløb (9416),",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Beløb (9416), ",,"Saldokorr.  9416 saldo i.år, Reg. sundhedskonto, Sundhedssaldo"
322,322,Saldokorr.  9417 saldo i.år,VARIABEL,"Beløb (9417),",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Beløb (9417), ",,
323,323,Saldokorr.  9418 saldo i.år,VARIABEL,"Beløb (9418),",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"11-Beløb (9418), ",,
324,324,Saldokorr. afspads. timer/kr.,VARIABEL,"Afspadseringstimer,Afspadsering beløb,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Afspadseringstimer,11-Afspadsering beløb,",,"Saldokorr. afspads. timer/kr., Saldokorr. afspads. timer/kr., Korrektion afspadsering"
373,373,Overfører seniorordning år-1,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,
400,400,Overfører saldi fra år-1,VARIABEL,"Feriefridage ovf. ja/nej,Feriefritimer ovf. ja/nej,Feriefribeløb ovf. ja/nej,Afspadsering ovf. ja/nej, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,0,,
401,401,Overfører saldi fra år-1,VARIABEL,"Omsorgsdage ovf. ja/nej,Omsorgstimer ovf. ja/nej,Aftalefridage ovf. ja/nej,Aftalefritimer ovf. ja/nej, ",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,0,,
402,402,Overfører fritvalgskonto år-1,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,"Overfører fritvalgskonto år-1, Overfører saldi fra år-1, Overfører saldi fra år-1"
403,403,Overfører saldi fra år-1,VARIABEL,,,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,,,
410,410,Tilbagefør ferie indev. År Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",,
412,412,Tilbagefør ferie forrige år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",,
413,413,Tilbagefør ferie sidste år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",,
415,415,Tilbagefør ferie forrige år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør Penge,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør Penge,",,
416,416,Tilbagefør ferie sidste år Gl. Ferielov,VARIABEL,"Tilbagefør dage,Tilbagefør penge,",,,,Nej,,,Nej,Nej,Nej,,Saldi,,,,"9-Tilbagefør dage,11-Tilbagefør penge,",,
