Navn,Lønartnr,Udskrivnings sekvens,Type
Information til medarbejder,2,2,FAST
Afregning af alle ferietillæg,47,47,VARIABELEFTREG
Reducer ATP / orlov i timer,71,71,FAST
Antal arbejdstimer i perioden,99,99,VARIABEL
Timeløn for tidligere perioder,168,168,VARIABELEFTREG
Overfører saldi år-1 dg,309,309,STILLINGSKATEGORI
Overfører feriefri år-1 dg,310,310,VARIABEL
Overfører feriefri år-1 tim,311,311,VARIABEL
Overfører feriefri år-1 bel.,312,312,VARIABEL
Overfører afsp år-1 tim,313,313,VARIABEL
Overfører omsorgdg år-1,314,314,VARIABEL
Overfører omsorgtim år-1,315,315,VARIABEL
Overfører aftalefridg år-1,316,316,VARIABEL
Overfører aftalefritim år-1,317,317,VARIABEL
Overfør ikke afholdt ferie dg,318,318,VARIABEL
Overfør ikke afholdt ferie.tim,319,319,VARIABEL
Overfør 941x saldi,320,320,VARIABEL
Saldokorr.  9416 saldo i.år,321,321,VARIABEL
Saldokorr.  9417 saldo i.år,322,322,VARIABEL
Saldokorr.  9418 saldo i.år,323,323,VARIABEL
Saldokorr. afspads. timer/kr.,324,324,VARIABEL
Overfører seniorordning år-1,373,373,VARIABEL
Overfører saldi fra år-1,400,400,VARIABEL
Overfører saldi fra år-1,401,401,VARIABEL
Overfører fritvalgskonto år-1,402,402,VARIABEL
Overfører saldi fra år-1,403,403,VARIABEL
Tilbagefør ferie indev. År Gl. Ferielov,410,410,VARIABEL
Tilbagefør ferie forrige år Gl. Ferielov,412,412,VARIABEL
Tilbagefør ferie sidste år Gl. Ferielov,413,413,VARIABEL
Tilbagefør ferie forrige år Gl. Ferielov,415,415,VARIABEL
Tilbagefør ferie sidste år Gl. Ferielov,416,416,VARIABEL
Tilbagefør 4080 fratrædelse Gl. Ferielov,428,428,VARIABEL
Tilbagefør ferie indev. År Gl. Ferielov,440,440,VARIABEL
Tilbagefør ferie indev. År Gl. Ferielov,445,445,VARIABEL
SH-beløb ret/overfør,450,450,VARIABEL
Tilbagefør 4090,470,470,VARIABEL
Tilbagefør 4005,475,475,VARIABEL
Tilbagefør 4006,476,476,VARIABEL
Tilbagefør 4085,485,485,VARIABEL
Tilbagefør 4095,495,495,VARIABEL
Udbetaling ferietillæg,500,500,VARIABEL
Saldokorr.  feriedage/kr. år X Gl. Ferielov,510,510,VARIABEL
Saldokorr.  feriedage/kr. år 0 Gl. Ferielov,511,511,VARIABEL
Saldokorr. ferietimer/kr. år X Gl. Ferielov,512,512,VARIABEL
Saldokorr.  ferietimer/kr. år0 Gl. Ferielov,513,513,VARIABEL
Saldokorr. feriedg.optjen i.år Gl. Ferielov,514,514,VARIABEL
Saldokorr. feriedg./saldo i.år Gl. Ferielov,515,515,VARIABEL
Saldokorr.ferietimer optj.i.år Gl. Ferielov,516,516,VARIABEL
Ferie fra tidligere arb.giver Gl. Ferielov,520,520,VARIABEL
Tildelt ferie med løn Gl. Ferielov,521,521,VARIABEL
Tildelt ferie uden løn Gl. Ferielov,522,522,VARIABEL
Antal arbejdsdage/feriedage Gl. Ferielov,530,530,VARIABEL
Saldokorr.  feriebert.løn år Gl. Ferielov,590,590,VARIABEL
Saldokorr.  feriedage/kr. år Gl. Ferielov,600,600,VARIABEL
Saldokorr. ferietillæg år Gl. Ferielov,601,601,VARIABEL
Saldokorr. eks. ferietillæg år Gl. Ferielov,602,602,VARIABEL
Saldokorr. ferietimer/kr. år Gl. Ferielov,605,605,VARIABEL
Saldokorr. feriedg./timer i.år Gl. Ferielov,606,606,VARIABEL
Saldokorr. feriekort år Gl. Ferielov,610,610,VARIABEL
Saldokorr. feriekort i år Gl. Ferielov,611,611,VARIABEL
Kilometergodtgørelse km.,620,620,VARIABEL
Jub/fratr. skattefri,621,621,VARIABEL
Arb.tid faktor tidl. år,650,650,VARIABEL
"Saldo Max 1, pension",710,710,VARIABEL
