Lønartnr,Udskrivnings sekvens,Navn,Type,Input,Sats,Pensionsgrundlag,Frivilligt medarbejder indb.,Ferieberretiget,Fp-reduktion,Afv. Udskriftslønart,Efterregulering,E-indkomst timer,ATP-Timer,Før/efter skat,Tillæg/fradrag,E-indkomst,Indtægtstype,IL-typer,Decentral,Kommentar,Alternative_Navne
2,2,Information til medarbejder,FAST,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Oplysning,nan,nan,nan,nan,nan,Timer
47,47,Afregning af alle ferietillæg,VARIABELEFTREG,nan,nan,nan,nan,Nej,nan,nan,Ja,Nej,Nej,Før,Tillæg,nan,nan,nan,nan,nan,Mileage Allowance
71,71,Reducer ATP / orlov i timer,FAST,nan,nan,nan,nan,Nej,nan,nan,Ja,Ja,Ja,nan,nan,200,nan,nan,nan,nan,Hensat afspadsering
99,99,Antal arbejdstimer i perioden,VARIABEL,Periodens timer,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Oplysning,nan,nan,nan,9-Periodens timer,nan,Overtid 1
168,168,Timeløn for tidligere perioder,VARIABELEFTREG,Timesats,nan,nan,nan,Nej,nan,nan,Ja,Nej,Nej,nan,nan,nan,nan,nan,10-Timesats,nan,Bonus
309,309,Overfører saldi år-1 dg,STILLINGSKATEGORI,nan,nan,nan,nan,Nej,nan,nan,Ja,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Timer til ATP
310,310,Overfører feriefri år-1 dg,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Ja,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,"Bonus,  Vagttillæg"
311,311,Overfører feriefri år-1 tim,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,"Forskudt tid kl. 18-22,  Aftentillæg"
312,312,Overfører feriefri år-1 bel.,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Skifteholdstillæg
313,313,Overfører afsp år-1 tim,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Nattillæg
314,314,Overfører omsorgdg år-1,VARIABEL,nan,nan,nan,nan,Nej,nan,nan,Nej,Nej,Nej,nan,Saldi,nan,nan,nan,nan,nan,Overtid 2
